Samples,Treatment,Replicate,Category,Week,µgCO2-Cgsoilday,µgCO2-Cgsoil
1,Control,1,Control,T02,25.96342409,363.4879373
2,Control,2,Control,T02,24.32419578,340.5387409
3,Control,3,Control,T02,25.55238907,357.733447
4,Control,4,Control,T02,26.45924476,370.4294267
5,Lime,1,AGamend,T02,74.52118024,1043.296523
6,Lime,2,AGamend,T02,35.43202138,496.0482993
7,Lime,3,AGamend,T02,36.81585267,515.4219373
8,Lime,4,AGamend,T02,40.8918567,572.4859938
9,CitricAcid,1,Csubstrate,T02,56.53569925,791.4997895
10,CitricAcid,2,Csubstrate,T02,59.54686747,833.6561446
11,CitricAcid,3,Csubstrate,T02,55.95023835,783.3033369
12,CitricAcid,4,Csubstrate,T02,58.92677628,824.9748679
13,H2O2,1,Stress,T02,58.12497506,813.7496509
14,H2O2,2,Stress,T02,61.21369895,856.9917853
15,H2O2,3,Stress,T02,57.09989521,799.398533
16,H2O2,4,Stress,T02,86.52202871,1211.308402
17,Inositol,1,Csubstrate,T02,30.88900414,432.446058
18,Inositol,2,Csubstrate,T02,47.46672774,664.5341884
19,Inositol,3,Csubstrate,T02,26.790078,375.061092
20,Inositol,4,Csubstrate,T02,26.86833671,376.156714
21,PoultryLitter,1,AGamend,T02,77.47581132,1084.661358
22,PoultryLitter,2,AGamend,T02,80.28431784,1123.98045
23,PoultryLitter,3,AGamend,T02,95.72130803,1340.098312
24,PoultryLitter,4,AGamend,T02,78.85497923,1103.969709
25,Biochar,1,AGamend,T02,40.39237655,565.4932718
26,Biochar,2,AGamend,T02,33.99707187,475.9590061
27,Biochar,3,AGamend,T02,36.48395415,510.7753581
28,Biochar,4,AGamend,T02,36.64167023,512.9833832
29,SodiumFormate,1,Csubstrate,T02,71.70957946,1003.934113
30,SodiumFormate,2,Csubstrate,T02,47.94370329,671.2118461
31,SodiumFormate,3,Csubstrate,T02,78.21582961,1095.021615
32,SodiumFormate,4,Csubstrate,T02,45.52295053,637.3213074
33,SodiumAcetate,1,Csubstrate,T02,50.32803144,704.5924402
34,SodiumAcetate,2,Csubstrate,T02,51.69495739,723.7294035
35,SodiumAcetate,3,Csubstrate,T02,51.35786874,719.0101623
36,SodiumAcetate,4,Csubstrate,T02,50.01020442,700.1428619
37,FumaricAcid,1,Csubstrate,T02,65.777254,920.881556
38,FumaricAcid,2,Csubstrate,T02,58.44130676,818.1782946
39,FumaricAcid,3,Csubstrate,T02,77.8655617,1090.117864
40,FumaricAcid,4,Csubstrate,T02,85.38921025,1195.448944
41,AutoclavedControl,1,Stress,T02,2.045071694,28.63100371
42,AutoclavedControl,2,Stress,T02,15.40757315,215.7060242
43,AutoclavedControl,3,Stress,T02,5.06430717,70.90030038
44,AutoclavedControl,4,Stress,T02,8.949514758,125.2932066
1,Control,1,Control,T04,16.09931793,225.390451
2,Control,2,Control,T04,15.69479526,219.7271336
3,Control,3,Control,T04,16.41287768,229.7802875
4,Control,4,Control,T04,17.20284961,240.8398945
5,Lime,1,AGamend,T04,19.84066761,277.7693466
6,Lime,2,AGamend,T04,20.09111246,281.2755744
7,Lime,3,AGamend,T04,20.06061573,280.8486202
8,Lime,4,AGamend,T04,20.77209093,290.809273
9,CitricAcid,1,Csubstrate,T04,20.7140103,289.9961443
10,CitricAcid,2,Csubstrate,T04,20.8097065,291.335891
11,CitricAcid,3,Csubstrate,T04,20.59264204,288.2969885
12,CitricAcid,4,Csubstrate,T04,21.3067538,298.2945532
13,H2O2,1,Stress,T04,27.99091579,391.8728211
14,H2O2,2,Stress,T04,30.73318726,430.2646216
15,H2O2,3,Stress,T04,27.44989647,384.2985506
16,H2O2,4,Stress,T04,26.41030415,369.7442582
17,Inositol,1,Csubstrate,T04,16.55934191,231.8307868
18,Inositol,2,Csubstrate,T04,17.40664783,243.6930696
19,Inositol,3,Csubstrate,T04,17.14014799,239.9620719
20,Inositol,4,Csubstrate,T04,17.14724465,240.0614251
21,PoultryLitter,1,AGamend,T04,31.21920635,437.0688889
22,PoultryLitter,2,AGamend,T04,32.54366141,455.6112598
23,PoultryLitter,3,AGamend,T04,27.46198547,384.4677966
24,PoultryLitter,4,AGamend,T04,31.00838211,434.1173496
25,Biochar,1,AGamend,T04,21.52926314,301.409684
26,Biochar,2,AGamend,T04,20.32308241,284.5231538
27,Biochar,3,AGamend,T04,22.75343362,318.5480706
28,Biochar,4,AGamend,T04,26.53865244,371.5411341
29,SodiumFormate,1,Csubstrate,T04,20.49228379,286.8919731
30,SodiumFormate,2,Csubstrate,T04,22.01707451,308.2390432
31,SodiumFormate,3,Csubstrate,T04,20.59612535,288.3457549
32,SodiumFormate,4,Csubstrate,T04,19.74153598,276.3815037
33,SodiumAcetate,1,Csubstrate,T04,21.67234911,303.4128875
34,SodiumAcetate,2,Csubstrate,T04,20.12729801,281.7821722
35,SodiumAcetate,3,Csubstrate,T04,21.03114459,294.4360243
36,SodiumAcetate,4,Csubstrate,T04,22.01817626,308.2544676
37,FumaricAcid,1,Csubstrate,T04,18.99706629,265.9589281
38,FumaricAcid,2,Csubstrate,T04,18.20930072,254.93021
39,FumaricAcid,3,Csubstrate,T04,17.0092189,238.1290646
40,FumaricAcid,4,Csubstrate,T04,18.17083866,254.3917413
41,AutoclavedControl,1,Stress,T04,55.2624387,773.6741418
42,AutoclavedControl,2,Stress,T04,47.56204317,665.8686044
43,AutoclavedControl,3,Stress,T04,81.87273344,1146.218268
44,AutoclavedControl,4,Stress,T04,69.46545395,972.5163553
1,Control,1,Control,T06,13.82904959,200.5212191
2,Control,2,Control,T06,18.57602438,269.3523535
3,Control,3,Control,T06,17.08943471,247.7968033
4,Control,4,Control,T06,15.51510105,224.9689652
5,Lime,1,AGamend,T06,18.60652566,269.7946221
6,Lime,2,AGamend,T06,19.82002991,287.3904336
7,Lime,3,AGamend,T06,20.19930821,292.889969
8,Lime,4,AGamend,T06,20.97950776,304.2028625
9,CitricAcid,1,Csubstrate,T06,19.34162192,280.4535178
10,CitricAcid,2,Csubstrate,T06,19.16777711,277.932768
11,CitricAcid,3,Csubstrate,T06,17.63055439,255.6430386
12,CitricAcid,4,Csubstrate,T06,17.84632213,258.7716709
13,H2O2,1,Stress,T06,22.22370767,322.2437612
14,H2O2,2,Stress,T06,23.46295431,340.2128375
15,H2O2,3,Stress,T06,22.83198509,331.0637839
16,H2O2,4,Stress,T06,22.82546414,330.9692301
17,Inositol,1,Csubstrate,T06,15.66156191,227.0926477
18,Inositol,2,Csubstrate,T06,16.78554211,243.3903606
19,Inositol,3,Csubstrate,T06,15.96908366,231.551713
20,Inositol,4,Csubstrate,T06,18.93224952,274.517618
21,PoultryLitter,1,AGamend,T06,23.33013447,338.2869498
22,PoultryLitter,2,AGamend,T06,24.18205734,350.6398314
23,PoultryLitter,3,AGamend,T06,22.18025492,321.6136963
24,PoultryLitter,4,AGamend,T06,23.51099897,340.909485
25,Biochar,1,AGamend,T06,19.24609613,279.0683939
26,Biochar,2,AGamend,T06,19.82101584,287.4047297
27,Biochar,3,AGamend,T06,21.92819048,317.9587619
28,Biochar,4,AGamend,T06,21.94449678,318.1952033
29,SodiumFormate,1,Csubstrate,T06,19.46682002,282.2688902
30,SodiumFormate,2,Csubstrate,T06,19.85464783,287.8923935
31,SodiumFormate,3,Csubstrate,T06,18.01906214,261.2764011
32,SodiumFormate,4,Csubstrate,T06,17.75781242,257.4882801
33,SodiumAcetate,1,Csubstrate,T06,21.17573527,307.0481614
34,SodiumAcetate,2,Csubstrate,T06,20.68942419,299.9966508
35,SodiumAcetate,3,Csubstrate,T06,20.69067966,300.0148551
36,SodiumAcetate,4,Csubstrate,T06,21.01194899,304.6732603
37,FumaricAcid,1,Csubstrate,T06,16.55576341,240.0585694
38,FumaricAcid,2,Csubstrate,T06,16.77796761,243.2805303
39,FumaricAcid,3,Csubstrate,T06,18.02378834,261.3449309
40,FumaricAcid,4,Csubstrate,T06,16.51392131,239.451859
41,AutoclavedControl,1,Stress,T06,49.11307213,712.1395458
42,AutoclavedControl,2,Stress,T06,26.45945488,383.6620958
43,AutoclavedControl,3,Stress,T06,38.48256724,557.997225
44,AutoclavedControl,4,Stress,T06,40.31763598,584.6057217
1,Control,1,Control,T08,13.71640792,185.1715069
2,Control,2,Control,T08,13.25733214,178.9739839
3,Control,3,Control,T08,13.90944641,187.7775265
4,Control,4,Control,T08,13.65127156,184.292166
5,Lime,1,AGamend,T08,14.37470995,194.0585843
6,Lime,2,AGamend,T08,15.42274267,208.207026
7,Lime,3,AGamend,T08,22.29086238,300.9266421
8,Lime,4,AGamend,T08,20.50028371,276.75383
9,CitricAcid,1,Csubstrate,T08,18.62618378,251.4534811
10,CitricAcid,2,Csubstrate,T08,21.82786719,294.676207
11,CitricAcid,3,Csubstrate,T08,16.06885941,216.929602
12,CitricAcid,4,Csubstrate,T08,17.1781371,231.9048509
13,H2O2,1,Stress,T08,16.22804803,219.0786485
14,H2O2,2,Stress,T08,17.97509859,242.663831
15,H2O2,3,Stress,T08,17.91631034,241.8701895
16,H2O2,4,Stress,T08,20.70229552,279.4809895
17,Inositol,1,Csubstrate,T08,20.62882423,278.489127
18,Inositol,2,Csubstrate,T08,16.75424203,226.1822674
19,Inositol,3,Csubstrate,T08,18.55985258,250.5580098
20,Inositol,4,Csubstrate,T08,19.90371825,268.7001963
21,PoultryLitter,1,AGamend,T08,24.4045797,329.4618259
22,PoultryLitter,2,AGamend,T08,23.13875297,312.3731651
23,PoultryLitter,3,AGamend,T08,19.70170344,265.9729964
24,PoultryLitter,4,AGamend,T08,31.09985909,419.8480977
25,Biochar,1,AGamend,T08,19.5747352,264.2589253
26,Biochar,2,AGamend,T08,17.86226139,241.1405288
27,Biochar,3,AGamend,T08,16.74179527,226.0142361
28,Biochar,4,AGamend,T08,19.22069839,259.4794283
29,SodiumFormate,1,Csubstrate,T08,17.01643321,229.7218484
30,SodiumFormate,2,Csubstrate,T08,16.94165783,228.7123808
31,SodiumFormate,3,Csubstrate,T08,20.78651887,280.6180047
32,SodiumFormate,4,Csubstrate,T08,15.76430298,212.8180902
33,SodiumAcetate,1,Csubstrate,T08,17.62784598,237.9759207
34,SodiumAcetate,2,Csubstrate,T08,17.13800264,231.3630357
35,SodiumAcetate,3,Csubstrate,T08,18.80697303,253.8941359
36,SodiumAcetate,4,Csubstrate,T08,20.74766771,280.0935141
37,FumaricAcid,1,Csubstrate,T08,15.78251456,213.0639465
38,FumaricAcid,2,Csubstrate,T08,15.26055717,206.0175218
39,FumaricAcid,3,Csubstrate,T08,14.52084307,196.0313815
40,FumaricAcid,4,Csubstrate,T08,14.65540453,197.8479612
41,AutoclavedControl,1,Stress,T08,22.4288612,302.7896261
42,AutoclavedControl,2,Stress,T08,21.8328899,294.7440136
43,AutoclavedControl,3,Stress,T08,24.76074382,334.2700416
44,AutoclavedControl,4,Stress,T08,24.54465265,331.3528108
1,Control,1,Control,T10,12.92801695,180.9922373
2,Control,2,Control,T10,13.907488,194.704832
3,Control,3,Control,T10,15.42766622,215.9873271
4,Control,4,Control,T10,12.22461578,171.144621
5,Lime,1,AGamend,T10,10.30438079,144.261331
6,Lime,2,AGamend,T10,11.32532344,158.5545282
7,Lime,3,AGamend,T10,13.11929393,183.670115
8,Lime,4,AGamend,T10,12.8755854,180.2581956
9,CitricAcid,1,Csubstrate,T10,9.970289341,139.5840508
10,CitricAcid,2,Csubstrate,T10,11.59305716,162.3028003
11,CitricAcid,3,Csubstrate,T10,12.59349127,176.3088778
12,CitricAcid,4,Csubstrate,T10,13.46332566,188.4865593
13,H2O2,1,Stress,T10,10.45808374,146.4131724
14,H2O2,2,Stress,T10,11.4147066,159.8058923
15,H2O2,3,Stress,T10,10.63047863,148.8267008
16,H2O2,4,Stress,T10,9.508616164,133.1206263
17,Inositol,1,Csubstrate,T10,11.88539871,166.395582
18,Inositol,2,Csubstrate,T10,13.05931404,182.8303965
19,Inositol,3,Csubstrate,T10,9.813661806,137.3912653
20,Inositol,4,Csubstrate,T10,13.96704777,195.5386688
21,PoultryLitter,1,AGamend,T10,15.36243575,215.0741005
22,PoultryLitter,2,AGamend,T10,16.69894462,233.7852247
23,PoultryLitter,3,AGamend,T10,12.59940028,176.3916039
24,PoultryLitter,4,AGamend,T10,23.37833914,327.2967479
25,Biochar,1,AGamend,T10,12.69562834,177.7387967
26,Biochar,2,AGamend,T10,10.45261842,146.3366579
27,Biochar,3,AGamend,T10,11.69675913,163.7546278
28,Biochar,4,AGamend,T10,12.22804495,171.1926293
29,SodiumFormate,1,Csubstrate,T10,10.34870638,144.8818894
30,SodiumFormate,2,Csubstrate,T10,10.04594706,140.6432589
31,SodiumFormate,3,Csubstrate,T10,9.661649051,135.2630867
32,SodiumFormate,4,Csubstrate,T10,8.787065129,123.0189118
33,SodiumAcetate,1,Csubstrate,T10,9.426172103,131.9664094
34,SodiumAcetate,2,Csubstrate,T10,9.97144526,139.6002336
35,SodiumAcetate,3,Csubstrate,T10,10.81479748,151.4071647
36,SodiumAcetate,4,Csubstrate,T10,11.37011483,159.1816076
37,FumaricAcid,1,Csubstrate,T10,7.098423853,99.37793394
38,FumaricAcid,2,Csubstrate,T10,8.380609933,117.3285391
39,FumaricAcid,3,Csubstrate,T10,7.321737394,102.5043235
40,FumaricAcid,4,Csubstrate,T10,6.962746192,97.47844669
41,AutoclavedControl,1,Stress,T10,11.21037796,156.9452914
42,AutoclavedControl,2,Stress,T10,14.44921005,202.2889407
43,AutoclavedControl,3,Stress,T10,18.44792861,258.2710005
44,AutoclavedControl,4,Stress,T10,15.90658045,222.6921263
1,Control,1,Control,T12,14.388172,201.434408
2,Control,2,Control,T12,13.10890057,183.5246079
3,Control,3,Control,T12,21.19258242,296.6961538
4,Control,4,Control,T12,13.67129282,191.3980994
5,Lime,1,AGamend,T12,14.45191567,202.3268194
6,Lime,2,AGamend,T12,13.49808391,188.9731747
7,Lime,3,AGamend,T12,13.41068269,187.7495577
8,Lime,4,AGamend,T12,13.58273118,190.1582365
9,CitricAcid,1,Csubstrate,T12,19.17634177,268.4687847
10,CitricAcid,2,Csubstrate,T12,14.75217957,206.5305139
11,CitricAcid,3,Csubstrate,T12,17.40149851,243.6209791
12,CitricAcid,4,Csubstrate,T12,17.36694884,243.1372837
13,H2O2,1,Stress,T12,10.01295588,140.1813823
14,H2O2,2,Stress,T12,11.98326551,167.7657171
15,H2O2,3,Stress,T12,16.11934871,225.6708819
16,H2O2,4,Stress,T12,11.12496846,155.7495585
17,Inositol,1,Csubstrate,T12,9.994187109,139.9186195
18,Inositol,2,Csubstrate,T12,13.16425933,184.2996306
19,Inositol,3,Csubstrate,T12,11.60383885,162.4537439
20,Inositol,4,Csubstrate,T12,13.23849184,185.3388858
21,PoultryLitter,1,AGamend,T12,18.63124625,260.8374475
22,PoultryLitter,2,AGamend,T12,16.31118039,228.3565255
23,PoultryLitter,3,AGamend,T12,16.70927473,233.9298462
24,PoultryLitter,4,AGamend,T12,17.00085911,238.0120275
25,Biochar,1,AGamend,T12,15.77384895,220.8338853
26,Biochar,2,AGamend,T12,14.05124769,196.7174676
27,Biochar,3,AGamend,T12,15.54232125,217.5924976
28,Biochar,4,AGamend,T12,20.92769476,292.9877266
29,SodiumFormate,1,Csubstrate,T12,10.62945185,148.8123259
30,SodiumFormate,2,Csubstrate,T12,12.49824451,174.9754232
31,SodiumFormate,3,Csubstrate,T12,16.28193005,227.9470207
32,SodiumFormate,4,Csubstrate,T12,12.01623041,168.2272258
33,SodiumAcetate,1,Csubstrate,T12,11.53440484,161.4816677
34,SodiumAcetate,2,Csubstrate,T12,12.45819084,174.4146718
35,SodiumAcetate,3,Csubstrate,T12,12.93308927,181.0632498
36,SodiumAcetate,4,Csubstrate,T12,12.90707841,180.6990978
37,FumaricAcid,1,Csubstrate,T12,7.737486935,108.3248171
38,FumaricAcid,2,Csubstrate,T12,9.6008698,134.4121772
39,FumaricAcid,3,Csubstrate,T12,12.59105668,176.2747935
40,FumaricAcid,4,Csubstrate,T12,9.237267501,129.321745
41,AutoclavedControl,1,Stress,T12,8.840417908,123.7658507
42,AutoclavedControl,2,Stress,T12,13.91629243,194.828094
43,AutoclavedControl,3,Stress,T12,18.61688463,260.6363848
44,AutoclavedControl,4,Stress,T12,18.21249778,254.9749689
1,Control,1,Control,T14,16.79176453,235.0847035
2,Control,2,Control,T14,15.2254418,213.1561852
3,Control,3,Control,T14,15.37567777,215.2594888
4,Control,4,Control,T14,15.43644708,216.1102591
5,Lime,1,AGamend,T14,11.82566672,165.559334
6,Lime,2,AGamend,T14,12.24638189,171.4493465
7,Lime,3,AGamend,T14,12.38418599,173.3786039
8,Lime,4,AGamend,T14,11.33571145,158.6999604
9,CitricAcid,1,Csubstrate,T14,16.33168374,228.6435723
10,CitricAcid,2,Csubstrate,T14,18.97698217,265.6777503
11,CitricAcid,3,Csubstrate,T14,17.66818814,247.354634
12,CitricAcid,4,Csubstrate,T14,19.54200023,273.5880033
13,H2O2,1,Stress,T14,12.20434353,170.8608094
14,H2O2,2,Stress,T14,14.03257758,196.4560861
15,H2O2,3,Stress,T14,12.13071641,169.8300297
16,H2O2,4,Stress,T14,12.11158646,169.5622105
17,Inositol,1,Csubstrate,T14,17.83474467,249.6864254
18,Inositol,2,Csubstrate,T14,20.7838823,290.9743522
19,Inositol,3,Csubstrate,T14,15.20271061,212.8379486
20,Inositol,4,Csubstrate,T14,16.64075056,232.9705079
21,PoultryLitter,1,AGamend,T14,17.59058205,246.2681486
22,PoultryLitter,2,AGamend,T14,17.27851011,241.8991415
23,PoultryLitter,3,AGamend,T14,17.47636718,244.6691406
24,PoultryLitter,4,AGamend,T14,17.16852044,240.3592862
25,Biochar,1,AGamend,T14,14.74871411,206.4819976
26,Biochar,2,AGamend,T14,14.01755165,196.2457231
27,Biochar,3,AGamend,T14,16.12558717,225.7582204
28,Biochar,4,AGamend,T14,14.96395098,209.4953137
29,SodiumFormate,1,Csubstrate,T14,16.74312351,234.4037291
30,SodiumFormate,2,Csubstrate,T14,15.9757175,223.660045
31,SodiumFormate,3,Csubstrate,T14,14.17322998,198.4252197
32,SodiumFormate,4,Csubstrate,T14,17.83922162,249.7491027
33,SodiumAcetate,1,Csubstrate,T14,14.63722719,204.9211807
34,SodiumAcetate,2,Csubstrate,T14,14.72699581,206.1779414
35,SodiumAcetate,3,Csubstrate,T14,17.04666729,238.653342
36,SodiumAcetate,4,Csubstrate,T14,15.2750437,213.8506119
37,FumaricAcid,1,Csubstrate,T14,11.72346505,164.1285107
38,FumaricAcid,2,Csubstrate,T14,11.79054186,165.067586
39,FumaricAcid,3,Csubstrate,T14,12.55748053,175.8047274
40,FumaricAcid,4,Csubstrate,T14,11.63963377,162.9548728
41,AutoclavedControl,1,Stress,T14,10.51473948,147.2063527
42,AutoclavedControl,2,Stress,T14,14.87036448,208.1851028
43,AutoclavedControl,3,Stress,T14,18.78281052,262.9593472
44,AutoclavedControl,4,Stress,T14,18.7955721,263.1380093
1,Control,1,Control,T16,10.94969934,153.2957907
2,Control,2,Control,T16,11.60683904,162.4957466
3,Control,3,Control,T16,14.21910024,199.0674034
4,Control,4,Control,T16,13.63668195,190.9135473
5,Lime,1,AGamend,T16,11.09486709,155.3281392
6,Lime,2,AGamend,T16,10.2842544,143.9795617
7,Lime,3,AGamend,T16,15.03320974,210.4649363
8,Lime,4,AGamend,T16,9.99420714,139.9189
9,CitricAcid,1,Csubstrate,T16,13.58742541,190.2239557
10,CitricAcid,2,Csubstrate,T16,13.8518118,193.9253652
11,CitricAcid,3,Csubstrate,T16,13.93453329,195.083466
12,CitricAcid,4,Csubstrate,T16,13.78647962,193.0107146
13,H2O2,1,Stress,T16,10.04666953,140.6533734
14,H2O2,2,Stress,T16,10.35076267,144.9106774
15,H2O2,3,Stress,T16,9.427676339,131.9874687
16,H2O2,4,Stress,T16,9.730094742,136.2213264
17,Inositol,1,Csubstrate,T16,11.8449625,165.829475
18,Inositol,2,Csubstrate,T16,12.99417846,181.9184984
19,Inositol,3,Csubstrate,T16,11.43566727,160.0993418
20,Inositol,4,Csubstrate,T16,12.0594913,168.8328782
21,PoultryLitter,1,AGamend,T16,14.03218186,196.4505461
22,PoultryLitter,2,AGamend,T16,14.94357631,209.2100684
23,PoultryLitter,3,AGamend,T16,14.74151583,206.3812216
24,PoultryLitter,4,AGamend,T16,14.62006819,204.6809546
25,Biochar,1,AGamend,T16,10.44976157,146.296662
26,Biochar,2,AGamend,T16,9.637066759,134.9189346
27,Biochar,3,AGamend,T16,11.87117694,166.1964772
28,Biochar,4,AGamend,T16,10.54891931,147.6848703
29,SodiumFormate,1,Csubstrate,T16,13.06102581,182.8543613
30,SodiumFormate,2,Csubstrate,T16,12.32609238,172.5652934
31,SodiumFormate,3,Csubstrate,T16,11.96082335,167.4515269
32,SodiumFormate,4,Csubstrate,T16,12.85770313,180.0078439
33,SodiumAcetate,1,Csubstrate,T16,12.68110005,177.5354007
34,SodiumAcetate,2,Csubstrate,T16,12.18324199,170.5653879
35,SodiumAcetate,3,Csubstrate,T16,11.78128743,164.938024
36,SodiumAcetate,4,Csubstrate,T16,12.94043004,181.1660205
37,FumaricAcid,1,Csubstrate,T16,11.38850891,159.4391247
38,FumaricAcid,2,Csubstrate,T16,9.432433488,132.0540688
39,FumaricAcid,3,Csubstrate,T16,9.602779226,134.4389092
40,FumaricAcid,4,Csubstrate,T16,10.48920485,146.848868
41,AutoclavedControl,1,Stress,T16,8.070229984,112.9832198
42,AutoclavedControl,2,Stress,T16,10.98827818,153.8358945
43,AutoclavedControl,3,Stress,T16,12.27851571,171.8992199
44,AutoclavedControl,4,Stress,T16,12.48465008,174.7851011
1,Control,1,Control,T42,6.707901074,80.49481289
2,Control,2,Control,T42,6.252822787,75.03387344
3,Control,3,Control,T42,5.511059548,66.13271458
4,Control,4,Control,T42,6.380464152,76.56556982
5,Lime,1,AGamend,T42,6.946529299,83.35835159
6,Lime,2,AGamend,T42,10.55817666,126.69812
7,Lime,3,AGamend,T42,7.773489258,93.28187109
8,Lime,4,AGamend,T42,6.790198318,81.48237981
9,CitricAcid,1,Csubstrate,T42,51.39762819,616.7715383
10,CitricAcid,2,Csubstrate,T42,54.00510853,648.0613024
11,CitricAcid,3,Csubstrate,T42,60.72928558,728.751427
12,CitricAcid,4,Csubstrate,T42,48.21696268,578.6035522
13,H2O2,1,Stress,T42,7.383181511,88.59817814
14,H2O2,2,Stress,T42,11.28668143,135.4401772
15,H2O2,3,Stress,T42,10.45625839,125.4751007
16,H2O2,4,Stress,T42,16.0206044,192.2472527
17,Inositol,1,Csubstrate,T42,59.65049013,715.8058816
18,Inositol,2,Csubstrate,T42,56.70258615,680.4310338
19,Inositol,3,Csubstrate,T42,62.37989175,748.5587011
20,Inositol,4,Csubstrate,T42,57.03386682,684.4064018
21,PoultryLitter,1,AGamend,T42,6.318790968,75.82549162
22,PoultryLitter,2,AGamend,T42,9.36068386,112.3282063
23,PoultryLitter,3,AGamend,T42,7.402258464,88.82710157
24,PoultryLitter,4,AGamend,T42,6.527300565,78.32760678
25,Biochar,1,AGamend,T42,9.135189572,109.6222749
26,Biochar,2,AGamend,T42,6.397890699,76.77468839
27,Biochar,3,AGamend,T42,8.784065676,105.4087881
28,Biochar,4,AGamend,T42,8.011586105,96.13903326
29,SodiumFormate,1,Csubstrate,T42,57.31735645,687.8082774
30,SodiumFormate,2,Csubstrate,T42,55.22581511,662.7097814
31,SodiumFormate,3,Csubstrate,T42,59.21772124,710.6126548
32,SodiumFormate,4,Csubstrate,T42,58.53980277,702.4776333
33,SodiumAcetate,1,Csubstrate,T42,75.4478651,905.3743812
34,SodiumAcetate,2,Csubstrate,T42,85.86008264,1030.320992
35,SodiumAcetate,3,Csubstrate,T42,75.98430496,911.8116595
36,SodiumAcetate,4,Csubstrate,T42,76.22553896,914.7064676
37,FumaricAcid,1,Csubstrate,T42,13.51070525,162.128463
38,FumaricAcid,2,Csubstrate,T42,13.18252502,158.1903003
39,FumaricAcid,3,Csubstrate,T42,13.87687275,166.522473
40,FumaricAcid,4,Csubstrate,T42,14.71106545,176.5327854
41,AutoclavedControl,1,Stress,T42,19.23683767,230.842052
42,AutoclavedControl,2,Stress,T42,14.30995167,171.7194201
43,AutoclavedControl,3,Stress,T42,11.80342199,141.6410639
44,AutoclavedControl,4,Stress,T42,11.41979603,137.0375523