D0.47,D0.094,D0.0094,DDD0.47,DDD0.094,DDD0.0094,InjectionDate
865046,165118,19175,325735,333185,345191,13/6/19
967963,175579,21661,369291,347189,369189,13/6/19
934626,177394,19961,346388,358421,356446,19/6/19
934626,176636,22773,337607,349548,372703,19/6/19
975039,177370,22490,357741,357634,397764,19/6/19
1190669,196251,22844,460550,446303,403562,19/6/19
1009456,195730,22879,369154,394904,389048,26/6/19
1063520,201385,22344,394363,408123,393880,26/6/19
1165877,188984,23282,425676,385073,416882,26/6/19
1140840,229979,24914,498347,532255,420548,26/6/19
1253769,222596,24805,440588,448594,441647,1/7/19
1205137,226340,25460,428948,475954,471228,1/7/19
1223251,225669,28204,430917,458753,490015,1/7/19
1301022,233106,27816,457031,476286,479407,1/7/19
1210147,228986,26877,429777,549280,463248,1/7/19
1028244,231682,25768,376582,469425,470831,8/7/19
1287996,225475,25256,447714,459273,440573,8/7/19
1295892,229392,31751,452141,463138,522745,8/7/19
1234245,228999,27474,434331,462704,488377,8/7/19
1325084,229458,26339,461450,471079,472841,9/7/19
1201753,215745,24538,423303,450095,454752,9/7/19
1270701,218901,26346,499281,486509,529088,9/7/19
1323839,234598,29106,460506,476896,499996,10/7/19
1358345,228142,26566,463878,464060,470311,10/7/19
1281597,232282,25847,446807,472116,473815,10/7/19
1428767,241716,25901,481697,499919,484471,12/8/19
1403652,235500,27047,478583,477341,490591,12/8/19
1418667,250401,27797,480772,509379,502801,12/8/19
1459295,248243,29184,493222,504023,517217,13/8/19
1488215,250995,27128,500600,513932,505406,13/8/19
1563962,258438,30003,589644,531740,567080,13/8/19
1444585,238042,27846,491486,483840,495512,14/8/19
1383414,238428,28547,474463,486829,506474,14/8/19
1492241,262577,28447,501840,563849,533978,14/8/19
1715300,271639,32782,551281,556723,583939,15/8/19
1686732,270127,29745,543681,574778,555979,15/8/19
1690387,278759,30637,601561,648770,620122,15/8/19
1760891,300893,30169,547171,608557,578053,28/11/19
1728859,701385,30176,636953,1481200,622941,28/11/19
1812057,300204,32038,551180,609331,607866,2/12/19
1747653,288427,28760,545883,647019,585559,2/12/19
2002151,300321,33094,597568,599273,619567,16/12/19
1978166,315908,34995,595858,692028,652742,16/12/19